Time	gauge_0	gauge_1	gauge_2
18.0919	0.0079524	2.07995e-05	2.27465e-06
18.1002	0.00689893	3.43386e-05	1.84539e-06
18.1085	0.00589549	5.34037e-05	1.50781e-06
18.1168	0.0049301	7.83679e-05	1.24027e-06
18.1252	0.00401642	0.000109988	1.02654e-06
18.1335	0.00321512	0.000149639	8.54653e-07
18.1418	0.00259783	0.000203879	7.15555e-07
18.1501	0.00211586	0.000273283	6.02228e-07
18.1584	0.00172755	0.000354687	-1e+15
18.1667	0.0013989	0.000450423	-1e+15
18.1751	0.00110712	0.000575428	-1e+15
18.1834	0.000836945	0.000764284	-1e+15
18.1917	0.000587428	0.00101822	-1e+15
18.2	0.000374583	0.00133626	-1e+15
18.2087	0.000226137	0.00172694	-1e+15
18.2174	0.000136602	0.00218398	-1e+15
18.2261	8.24343e-05	0.00272943	-1e+15
18.2348	4.91917e-05	0.00347785	-1e+15
18.2435	2.90583e-05	0.00448147	-1e+15
18.2522	1.71674e-05	0.0056645	-1e+15
18.2609	1.01682e-05	0.00696321	-1e+15
18.2696	6.06492e-06	0.00832235	-1e+15
18.2777	3.77093e-06	0.00963649	-1e+15
18.2859	2.3842e-06	0.0109809	-1e+15
18.2946	1.49442e-06	0.0124442	-1e+15
18.3028	9.87851e-07	0.0138104	-1e+15
18.3109	6.64776e-07	0.015193	-1e+15
18.319	-1e+15	0.0166029	-1e+15
18.3271	-1e+15	0.0180473	-1e+15
18.3352	-1e+15	0.019525	-1e+15
18.3433	-1e+15	0.0210325	-1e+15
18.3514	-1e+15	0.0225718	-1e+15
18.3595	-1e+15	0.024129	-1e+15
18.3676	-1e+15	0.0256967	-1e+15
18.3757	-1e+15	0.0272731	-1e+15
18.3838	-1e+15	0.0288582	-1e+15
18.3919	-1e+15	0.0304442	-1e+15
18.4	-1e+15	0.0320229	-1e+15
18.4087	-1e+15	0.0336984	-1e+15
18.4174	-1e+15	0.0353547	-1e+15
18.4261	-1e+15	0.0369936	-1e+15
18.4348	-1e+15	0.0386173	-1e+15
18.4435	-1e+15	0.0402197	-1e+15
18.4522	-1e+15	0.0417884	-1e+15
18.4609	-1e+15	0.0433105	-1e+15
18.4696	-1e+15	0.0447829	-1e+15
18.4783	-1e+15	0.0462061	-1e+15
18.487	-1e+15	0.0475794	-1e+15
18.4957	-1e+15	0.0489008	-1e+15
18.5043	-1e+15	0.0501666	-1e+15
18.513	-1e+15	0.0513673	-1e+15
18.5217	-1e+15	0.0524975	-1e+15
18.5304	-1e+15	0.0535488	-1e+15
18.5391	-1e+15	0.0545201	-1e+15
18.5478	-1e+15	0.0554096	-1e+15
18.5565	-1e+15	0.0562159	-1e+15
18.5652	-1e+15	0.0569388	-1e+15
18.5739	-1e+15	0.0575739	-1e+15
18.5826	-1e+15	0.058117	-1e+15
18.5913	-1e+15	0.0585663	-1e+15
18.6	-1e+15	0.0589071	-1e+15
18.6087	-1e+15	0.0591497	-1e+15
18.6174	-1e+15	0.0592997	-1e+15
18.6261	-1e+15	0.0593796	-1e+15
18.6348	-1e+15	0.0593838	-1e+15
18.6435	-1e+15	0.0593062	-1e+15
18.6522	-1e+15	0.0591307	-1e+15
18.6609	-1e+15	0.0588574	-1e+15
18.6696	-1e+15	0.0584947	-1e+15
18.6783	-1e+15	0.0580463	-1e+15
18.687	-1e+15	0.0575137	-1e+15
18.6957	-1e+15	0.0568995	-1e+15
18.7043	-1e+15	0.0562077	-1e+15
18.713	-1e+15	0.0554408	-1e+15
18.7217	-1e+15	0.0546008	-1e+15
18.7304	-1e+15	0.0536911	-1e+15
18.7391	-1e+15	0.0527146	-1e+15
18.7478	-1e+15	0.0516747	-1e+15
18.7565	-1e+15	0.0505761	-1e+15
18.7652	-1e+15	0.0494215	-1e+15
18.7739	-1e+15	0.048219	-1e+15
18.7826	-1e+15	0.0469699	-1e+15
18.7913	-1e+15	0.0456782	-1e+15
18.8	-1e+15	0.0443426	-1e+15
18.8091	-1e+15	0.0429018	6.33771e-07
